Brand Name,Industry,Phone,Instagram,TikTok,Facebook,Website,Address,Email
Velvet Brew Cafe,Food & Beverage,628112233445,velvetbrew,velvet.brew,VelvetBrewOfficial,https://velvetbrew.com,Jl. Senopati No. 12 Jakarta,hello@velvetbrew.com
Nusantara Digital Agency,Marketing & Tech,628223344556,nusantaradigital,nusantara.tech,NusantaraDigital,https://nusantaradigital.id,Jl. Sudirman Kav. 45 Jakarta,contact@nusantaradigital.id
Glow & Co Skincare,Beauty & Cosmetics,628334455667,glowcoskincare,glowco.official,GlowAndCoBeauty,https://glowcoskincare.com,Jl. Braga No. 88 Bandung,support@glowcoskincare.com
FitPulse Gym & Fitness,Health & Sports,628445566778,fitpulse.id,fitpulsefit,FitPulseGym,https://fitpulse.id,Jl. Raya Darmo No. 21 Surabaya,admin@fitpulse.id
Kopi Kenangan Jiwa,Food & Beverage,628556677889,kopikenanganjiwa,kenanganjiwa,KopiKenanganJiwa,https://kopikenanganjiwa.com,Jl. Malioboro No. 10 Yogyakarta,info@kopikenanganjiwa.com
Urban Sneakers Store,Fashion & Retail,628667788990,urbansneakers,urbansneakers.id,UrbanSneakersID,https://urbansneakers.id,Jl. Tunjungan No. 5 Surabaya,cs@urbansneakers.id
Zenith Interior Design,Architecture & Design,628778899001,zenithinterior,zenith.design,ZenithInteriorDesign,https://zenithinterior.com,Jl. Sunset Road No. 88 Bali,hello@zenithinterior.com
Asera Pet House,Pet Care & Veterinary,628889900112,aserapethouse,aserapet,AseraPetHouse,https://aserapet.com,Jl. Kemang Raya No. 14 Jakarta,care@aserapet.com
Batik Kencana Wungu,Fashion & Apparel,628990011223,kencanawungubatik,kencanawungu,BatikKencanaWungu,https://kencanawungu.com,Jl. Klewer No. 3 Solo,sales@kencanawungu.com
Solusi Coding Indonesia,Software Development,628101122334,solusicoding,codingindonesia,SolusiCodingID,https://solusicoding.id,Jl. Ir. H. Juanda No. 100 Bandung,team@solusicoding.id
Alpha Gym Equipment,Sports & Fitness,628212233445,alphagymgear,alphagym,AlphaGymEquipment,https://alphagym.id,Jl. Pluit Kencana No. 7 Jakarta,order@alphagym.id
GreenLeaf Organic Mart,Groceries & Health,628323344556,greenleaforganic,greenleaf.mart,GreenLeafOrganic,https://greenleaf.id,Jl. Prapanca Raya No. 22 Jakarta,support@greenleaf.id
Starlight Wedding Organizer,Event & Wedding,628434455667,starlightwedding,starlight.wo,StarlightWeddingOrganizer,https://starlightwedding.id,Jl. Braga No. 12 Bandung,hello@starlightwedding.id
Nusantara Coffee Roasters,Food & Beverage,628545566778,nusantararoasters,roasters.id,NusantaraRoasters,https://nusantararoasters.com,Jl. Gajah Mada No. 45 Medan,roast@nusantararoasters.com
Lumina Studio Photography,Media & Production,628656677889,luminaphoto,lumina.studio,LuminaStudioOfficial,https://luminastudio.id,Jl. Teuku Umar No. 19 Denpasar,shoot@luminastudio.id
CyberShield Security,Cybersecurity & IT,628767788990,cybershield_id,cybershield,CyberShieldID,https://cybershield.id,Jl. Mega Kuningan Barat Jakarta,secure@cybershield.id
Harmoni Music School,Education & Arts,628878899001,harmonimusicschool,harmonimusic,HarmoniMusicSchool,https://harmonimusic.id,Jl. Boulevard Raya Kelapa Gading Jakarta,info@harmonimusic.id
Savanna Florist & Gift,Retail & Gifts,628989900112,savannaflorist,savanna.florist,SavannaFloristGift,https://savannaflorist.id,Jl. Riau No. 56 Bandung,order@savannaflorist.id
Nexus Co-Working Space,Real Estate & Business,628190011223,nexusworkspace,nexus.space,NexusCoworking,https://nexusworkspace.id,Jl. HR Rasuna Said Jakarta,hello@nexusworkspace.id
Apex Auto Detailing,Automotive Services,628201122334,apexautodetail,apexdetailing,ApexAutoDetailing,https://apexautodetail.id,Jl. Panjang No. 18 Jakarta Barat,care@apexautodetail.id
